title,title_Link,answer,time,回答者,f_light,ml_10
区别爬山虎和常舂藤,http://zhidao.baidu.com/question/1494650368144721859.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚触着墙的时候,有六七根细丝会变成小圆片,巴住墙.细丝原先是直的,接触墙面后就会弯曲了,爬山虎的脚要是没触着墙几天后就会枯萎！ 常春藤是一种蔓性植物,可在室内或室外栽培,生长速度不很快,淡给人的感觉总有优雅起生命力旺盛的希望,常...,2014-09-26,囧Santorini,1个回答,
爬山虎的脚出自于哪本书,http://zhidao.baidu.com/question/984964525528688379.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：《爬山虎的脚》是人教版小学语文四年级上册的课文。文章介绍了爬山虎是如何爬墙的。 作者:叶圣陶先生 [人教版课标本第七册课文] 6 爬山虎的脚 学校操场北边墙上满是爬山虎。我家也有爬山虎，从小院的西墙爬上去，在房顶上占了一大片地方。 爬山...,2016-01-12,邪帝1逍遥,1个回答,3
爬山虎是什么 阅读答案,http://zhidao.baidu.com/question/715656965209135405.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：“在我的眼前那片爬山虎总是那么绿着”（1）这句话选自《那片绿绿的爬山虎》作者是肖复兴，结合课文我体会到这句话的含义是叶老先生平易近人，和蔼可亲的形象如同那片爬山虎一样让我永记于心,2017-01-31,cn#auVaGpLupQ,1个回答,
为什么“爬山虎”叫爬山虎,http://zhidao.baidu.com/question/69259474.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：为什么不叫爬山虫,2008-09-22,今日晴朗,3个回答,129
描述爬山虎诗句,http://zhidao.baidu.com/question/1950536582590599628.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：为你奉上一首七律，敬请参考！ 七律·咏爬墙虎（新韵） 纤纤小手紧抓墙，映月辉星独自狂。 一夏攀登迎烈日，三秋环绕傲寒霜。 风姿不逊春花美，神韵犹如枫叶香。 藤蔓干枯情未了，红红笑脸唱辉煌。,2016-12-12,田枪古,1个回答,18
"爬山虎的脚"脚是念（jiao）呢，还是念（jue）呢）？,http://zhidao.baidu.com/question/376120690.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答："爬山虎的脚"脚jiǎo 脚 jué 详细字义 〈名〉 1. 传统戏曲中的人物类型 [role;part] 崛,山短高也。——《说文》 崛,特立也。——《埤苍》 神明崛其特起。——张衡《西京赋》 洪台崛其独出兮。——《文绚扬雄·甘泉赋》 2. 又如:脚儿(也作“角儿”、“脚色”);...,2016-12-02,shanexing,2个回答,
爬山虎的问题,http://zhidao.baidu.com/question/106760756.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：有几个问题,请大家帮我一一解答! 1.爬山虎铁皮爬得上去吗? 2.对铁皮会损...,2009-07-23,zyzx_5,2个回答,32
爬山虎怎么借物喻人,http://zhidao.baidu.com/question/384206506.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1 爬山虎特点----生命力旺盛，力争上游，努力攀登，不惧风雨，质朴....... 2 象征意义----象征了默默无闻的劳动者。 也可以象征那些在挫折中不屈服，勇敢拼搏的人。,2012-02-24,童言无忌zcl,1个回答,27
（爬山虎的脚），从一脚一脚中，我体会到了什么,http://zhidao.baidu.com/question/651329039042443445.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：（爬山虎的脚），从一脚一脚中，我体会到了什么尽快回复,2016-09-19,百度知道客户端,3个回答,169
爬山虎一年四季的变化，急急急急急急急急急,http://zhidao.baidu.com/question/477575240.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎生性随和，适应性强，喜阴、耐干旱，在一般土壤中都能生长。春天，爬山虎长得郁郁葱葱；夏天，开黄绿色小花；秋天，爬山虎的叶子变成橙黄色；这就使得建筑物的色彩富于变化。,2012-09-19,物语流栾,1个回答,131
八月份了，不知道现在种爬山虎能不能活？？,http://zhidao.baidu.com/question/360371735170711932.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：想买一些种子来绿化家园。可是现在都八月份了。。,2014-04-23,小白大人103,3个回答,6
夏天怎样种植爬山虎,http://zhidao.baidu.com/question/62307765.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：夏天很热想在6楼上种植爬山虎 想问一下夏天怎样中才能成活 在楼上用什么...,2016-02-27,石头火箭,2个回答,32
爬山虎在什么时间生长? 是春夏秋冬哪个季节？,http://zhidao.baidu.com/question/232202859.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：大约5月上旬左右发苗，往后长2年左右，在春天。。。分分给我吧~~~,2011-03-04,jimomo12,2个回答,103
爬山虎喜欢呆在什么地方,http://zhidao.baidu.com/question/683022921914396332.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎 性喜阴湿环境，但不怕强光，耐寒，耐旱，耐贫瘠，耐修剪，怕积水，对土壤要求不严，但在阴湿、肥沃的土壤中生长最佳。爬山虎生性随和，适应性强，在一般土壤中都能生长。爬山虎占地少、生长快，绿化覆盖面积大。,2015-09-25,百度知道客户端,3个回答,17
爬山虎的克星是什么,http://zhidao.baidu.com/question/1111497091412694979.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：去药店，卖滕类除草济,2014-10-29,百度知道客户端,3个回答,3
爬山虎为什么那么早死,http://zhidao.baidu.com/question/1734181330075415187.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：其实爬山虎的生命力是很强的，看看是不是水土不好，空气不好，这都是造成爬山虎死亡的原因之一,2015-09-15,虚幻de承諾,1个回答,3
爬山虎的脚里面的伸出起到什么作用,http://zhidao.baidu.com/question/1448530144211650580.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：枝上有卷须，卷须尖端有粘性吸盘，遇到物体便吸附在上，无论是岩石、墙壁或是树木，均能吸附。,2016-01-11,半夏908,1个回答,7
根据爬山虎发明的东西,http://zhidao.baidu.com/question/745797175605994092.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：吸盘，搬运玻璃的工具，能吸住光滑墙壁的吸盘挂钩，以及类似的东西等等。,2015-04-03,axjlqim,2个回答,45
爬山虎种子没经过处理种植但是一颗没出芽，如何让...,http://zhidao.baidu.com/question/2073798938597695268.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：种子处理方法： 采收后的种子搓去果皮果肉，洗净晒干后可放在湿沙中低温贮藏一冬，保温、保湿有利于催芽，次年早春3月上中旬即可露地播种，薄膜覆盖，5月上旬即可出苗。 繁殖过程需要注意以下事项： 1、种子沙藏和催芽。 9月份当浆果成熟呈紫蓝...,2015-06-16,商务BAR,2个回答,6
爬山虎的来历,http://zhidao.baidu.com/question/438839.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：脚,2005-09-24,叶暗琉璃冰,2个回答,60
爬山虎怎么画,http://zhidao.baidu.com/question/395333575438362605.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：先画轮廓线，在根据深浅颜色进行上色。希望我的回答能对你有一定帮助。,2016-09-28,云南万通汽修学校,1个回答,12
这样子扦插爬山虎会活吗？今天刚刚剪的,http://zhidao.baidu.com/question/1817924696906212028.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎是极易成活的植物，打理好就会活的。 扦插方法及管理 （1) 插条的选取：嫩枝扦插于每年6～7月采集半木质化嫩枝, 剪成10～15 cm长的插穗, 上剪 口距芽1 cm左右平剪, 下剪口距芽0.5 cm斜剪; 硬枝扦插则于每年落叶后土壤结冻前, 选取 直径0.5...,2015-08-22,零食物语520,4个回答,2
爬山虎发明了什么500字作文,http://zhidao.baidu.com/question/1895723106472539740.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：那个冬日，冷得人不想动弹，我极不情愿地挪到操场上体育课。穿着厚厚的衣服，我在200米的大操场连跑了四圈，心里想的尽是：暑片、可乐、空调，……气喘吁吁的我，迈着沉重的双腿，吃力地走到有微弱阳光的一角休息。忽然一片黯淡的绿色映入眼帘，我...,2015-05-16,营瑜英,2个回答,12
阅读文段，回答问题。        爬山虎         　　...,http://zhidao.baidu.com/question/873325531226570332.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：阅读文段，回答问题。 爬山虎 ①地锦，俗名爬山虎，我与他有着一段不解之...,2014-09-20,下马冯妇,1个回答,11
爬山虎是怎样在墙上“触”、“巴”、“贴”、“爬”的？,http://zhidao.baidu.com/question/1830180737236491020.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：触：爬山虎有皮孔，髓白色。枝条粗壮，老枝灰褐色，幼枝紫红色。枝上有卷须，卷须短，多分枝，卷须顶端及尖端有粘性吸盘，遇到物体便吸附在上面，无论是岩石、墙壁或是树木，均能吸附。 巴、贴：爬山虎的脚长在茎上。茎上长叶柄地方，反面伸出枝...,2017-10-03,黑岩832,1个回答,15
26.那片绿绿的爬山虎中“规范”指的是什么,http://zhidao.baidu.com/question/356480233.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：原句：使得句子干净了也规范了。 “干净”，在这里指句子简洁明白，不啰嗦。“规范”，指语言标准、典范。,2016-10-15,shouji7913,5个回答,83
《那片绿绿的爬山虎》中为什么作者说“在我的眼前，...,http://zhidao.baidu.com/question/2201751387966701428.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：体会到了叶圣陶先生帮我修改作文并邀请我去他家做客的事给我留下了深刻的印象，对“我”的文学创作带来了巨大的影响。,2017-12-16,,3个回答,125
以爬山虎的口气介绍自己脚的本领是什么?,http://zhidao.baidu.com/question/204150192.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：学校操场北边墙上满是爬山虎。我家也有爬山虎，从小院的西墙爬上去，在房顶上占了一大片地方。 爬山虎刚长出来的叶子是嫩红的，不几天叶子长大，就变成嫩绿的。爬山虎的嫩叶不大引人注意，引人注意的是长大了的叶子。那此叶子绿得那么新鲜，看着...,2016-12-02,蝴蝶nn,1个回答,89
爬山虎为什么会“爬山”,http://zhidao.baidu.com/question/273718548.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎原本是生长在丛林中的，丛林中有茂密的灌木丛，生长在下面的植物照射到的阳光很少。而爬山虎是喜欢阳光的植物，它会爬上高大的树木，更好的获取阳光。所以我们把爬山虎种在建筑旁边，它就会本能的往高处爬。,2011-05-30,刀非剑,3个回答,23
六年级下点击我的爬山虎答案，急啊！！！！！！！...,http://zhidao.baidu.com/question/428971054.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：（可是），人们至今对我的特长和好处不甚了解。 （3）（由于）人口和工业高度集中，城市成为高密度耗氧地区。 3.本文介绍了爬山虎的特性，（好处）,形态结构和（种植方法）。 （1）爬山虎占地少 （2）爬山虎的绿化覆盖面积大 （3）爬山虎的适应...,2013-05-26,,2个回答,16
种爬山虎好还是长春藤好?,http://zhidao.baidu.com/question/1638119549202790180.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：本人想在自家阳台(西边)上种爬藤,使西边的墙体免受炎热阳光的西照,是爬...,2013-12-23,,2个回答,
爬山虎在古代怎么说,http://zhidao.baidu.com/question/624439472018868804.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：在《本草纲目》中，爬山虎叫地锦。 地锦又名爬墙虎，原产我国，北起长白山，南至广东、广西，广泛分布。 【出处】出自《本草纲目拾遗》：地锦，生淮南林下。叶如鸭掌，藤蔓着地，节处有根，亦缘树石，冬月不死，山人产后用之。 ‍ 爬山虎又...,2014-09-09,诸城风雷工具,2个回答,
梦见家里长进来茂盛的爬山虎,http://zhidao.baidu.com/question/1574869396085995060.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：梦见家里长爬山虎意味着： 这两天运势不错，人际沟通方面表现佳。只想把工作上烦人的事情完全抛到脑后，而且你也不想窝在家里，想趁机和出门去走走，不论是散步或健身都好，出外旅游也有浪漫的质量保证，有伴侣的你就邀约另一半陪同，一起度过美...,2014-10-26,,1个回答,16
爬山虎怎么借物喻人,http://zhidao.baidu.com/question/384206506.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1 爬山虎特点----生命力旺盛，力争上游，努力攀登，不惧风雨，质朴....... 2 象征意义----象征了默默无闻的劳动者。 也可以象征那些在挫折中不屈服，勇敢拼搏的人。,2012-02-24,童言无忌zcl,1个回答,27
爬山虎是什么 阅读答案,http://zhidao.baidu.com/question/715656965209135405.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：“在我的眼前那片爬山虎总是那么绿着”（1）这句话选自《那片绿绿的爬山虎》作者是肖复兴，结合课文我体会到这句话的含义是叶老先生平易近人，和蔼可亲的形象如同那片爬山虎一样让我永记于心,2017-01-31,cn#auVaGpLupQ,1个回答,
作文 我的发现(爬山虎),http://zhidao.baidu.com/question/95458118.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1.爬山虎 今天我发现了爬山虎。它不像玫瑰一样高贵，也不像菊花一样美丽，它只是一棵爬山虎。它沿着墙壁攀登，不知经过了多少春、夏、秋、冬，风风雨雨，可它仍然坚强地生长。 春天，它换了一身绿色的衣服，春风吹在它又细又长的茎上，显得生机...,2009-04-29,fnszqiyi,3个回答,24
爬山虎绕树长的现象是寄生吗，如果不是寄生是属于...,http://zhidao.baidu.com/question/435437198.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：您好： 不算是寄生。因为寄生是需要一方给另外一方提供营养的。爬山虎可以绕树是因为它枝上有卷须，卷须顶端及尖端有粘性吸盘，遇到物体便吸附在上面。 祝好。,2012-06-09,黄徐丰,3个回答,4
描写秋天爬山虎的词语句子？,http://zhidao.baidu.com/question/121632153.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：都有哪些？？？？？？？？,2017-10-11,853822380,3个回答,64
有什么类似于爬山虎。但是带花的植物吗？,http://zhidao.baidu.com/question/986157706273884379.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：你的意思是选择攀缘开花植物，这个有凌霄花，茑萝，西番莲等。,2016-07-06,百度知道客户端,2个回答,
爬山虎有什么优点,人类为什么让它肆意生长?,http://zhidao.baidu.com/question/1430712245894216059.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎有什么优点,人类为什么让它肆意生长?,2014-09-22,梦的旅程仍旧,1个回答,5
读了爬山虎的脚从作者身上学到了什么,http://zhidao.baidu.com/question/201166626500327845.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：两个方面 本文的作者观察爬山虎是从远到近观查，有满墙的叶子到好像蛟龙的爪子的脚。写叶子抓住了眼色幼嫩红到嫩绿这一变化特点，更加直接的说明了作者不仅观察仔细，而且连续观察，我们从中懂得了要抓住事物的特点仔细观察。 爬山虎从不在乎自...,2015-11-04,百度知道客户端,2个回答,49
爬山虎的脚一课作者是按什么顺序写的,http://zhidao.baidu.com/question/1771107121651824260.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：先总的写出了这种植物爬山虎,再分别写它的叶子,脚. 按从整体到局部顺序,2017-01-07,Du知道君,1个回答,23
爬山虎是植物界的攀爬高手我就是爬山虎的脚怎么写,http://zhidao.baidu.com/question/984976685350697139.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚 叶圣陶 学校操场北边墙上满是爬山虎.我家也有爬山虎,从小院的西墙爬上去,在房顶上占了一大片地方. 爬山虎刚...,2015-09-14,zhang198852182,2个回答,3
爬山虎的茎是由什么组成,http://zhidao.baidu.com/question/1495098490060912899.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的茎读音 爬山虎的茎读音如下： 爬山虎的茎 pá shān hǔ de jīng,2017-02-18,可以asw,2个回答,4
我是爬山虎150字的作文,http://zhidao.baidu.com/question/202538921.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：记忆深处有一堵很高很高的墙，上面爬满着爬山虎，和蓝蓝的天连成一片。起风了，爬山虎被吹得起了皱褶。 听说学校新建校园要拆楼，心里隐隐地生出些担忧：不会拆掉那面墙吧？不会伤害到我们的爬山虎吧？跑回学校去看，看到墙和爬山虎都完好无损地...,2010-12-02,李莲李莲lilian,3个回答,35
爬山虎的脚课文里的说的是什么样的细丝,http://zhidao.baidu.com/question/332771528.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：这篇课文重点围绕“爬山虎的脚”来写，为此，作者进行了细心而有序的观察，并且用准确、生动的语言描写，使我们留下了深刻的印象。由于作者细心观察，所以，才能看见“叶尖一顺儿朝下，在墙上铺得那么均匀，没有重叠起来的，也不留一点儿空隙。”才...,2016-03-01,,1个回答,55
爬山虎怎么种才能活,http://zhidao.baidu.com/question/368421935913928604.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：对于爬山虎栽植也没有什么特殊要求，它是一种特别好活的苗子。在栽植后多浇几遍水，让它保持一周左右的湿润即可！,2014-08-03,614我会努力,1个回答,2
爬山虎长什么样,图片,http://zhidao.baidu.com/question/1988725168989830787.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答： 长这样,2014-08-01,雪与花月,1个回答,160
那片绿绿的爬山虎我的感受,http://zhidao.baidu.com/question/756345140883134644.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：那片绿绿的爬山虎我的感受,2016-11-16,Du知道君,1个回答,2
爬山虎用英语怎么说,http://zhidao.baidu.com/question/1796145006166315187.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：-爬山虎： boston ivy；Shinygreen Creeper；Parthenocissustricuspidata；japanese creeper japanese creeper 这种植物叫“爬墙虎”，别名： 爬山虎（japanese creeper）地锦、飞天蜈蚣、假葡萄藤、捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山...,2014-01-01,,2个回答,4
那片绿绿的爬山虎课文中7、8、9、10自然段的中心意思,http://zhidao.baidu.com/question/267708467963030205.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：第二部分（第7～9自然段）：暑假的一天，叶老邀请“我”到他家做客。 第三部分（第10自然段）：通过与叶老先生的接触，使“我”受益匪浅。 中心思想： 本文通过写叶圣陶先生给作者修改作文，并请作者前往自己家中做客的事，给作者留下难忘的印象，表...,2017-01-05,crystal9285,1个回答,19
以爬山虎为主题的儿童诗歌,http://zhidao.baidu.com/question/1048810345387469379.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎 不是摘星星 也不为够太阳 只愿就着五月明媚 见缝扎根 用我毕生的力量 攀登 为夏日的你 织件碧绿的衣裳 让勤奋的你感受到 多情的我 ----赏赐的清爽,2015-11-14,mouserice33,1个回答,11
绿绿的爬山虎一课 文章最后又写到了爬山虎有什么好处,http://zhidao.baidu.com/question/497089652614498004.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：点题加首尾呼应，典型的语文标准答案。其实作者也不见得当时就清楚，这么抽象的艺术，本来很多时候就是感性的。要我说，这样写确实能让文章的情感线完整，清晰，加深读者共鸣。,2015-02-23,百度知道客户端,1个回答,43
爬山虎什么季节开放,http://zhidao.baidu.com/question/2011211707696426668.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：春末 开始 发芽 求采纳 谢谢,2014-10-24,薛明明go,2个回答,29
用第一人称写爬山虎的自述，重点写叶子和它是怎么爬的,http://zhidao.baidu.com/question/481230702.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：想要得到更多的阳光，通风条件更好，就要一直向上爬，当我刚从芽的时候，就想着怎么爬上墙，我有手上有个吸盘，当我第一次碰到墙壁上可以放吸盘的地方，我就慢慢地靠近它，到吸盘能碰着它的时候，就用尽一办法把吸盘牢牢吸附在上面，然后再生长...,2012-09-28,755827682,2个回答,184
爬山虎有盆栽的吗?怎样养殖爬山虎?,http://zhidao.baidu.com/question/68606926.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：想在阳台上养爬山虎,有盆栽的话,价格多少?,2008-09-18,q787933051,3个回答,26
爬山虎资料,http://zhidao.baidu.com/question/35688443.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎资料 BMBK,JHMHJMJHM,NM,NNK,NJ,MJKDNFHTDIGJNTDHTDJHNYF5J+5F+GJ...,2007-09-17,Οο淫魔ξ●,8个回答,561
现在夏天能种爬山虎吗？,http://zhidao.baidu.com/question/552778981299166932.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：可以的。,2014-06-27,百度知道客户端,3个回答,8
你见过爬山虎爬吗?是怎样子爬的?,http://zhidao.baidu.com/question/1758204.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎又名爬墙虎、地锦，原产我国，北起长白山，南至广东、广西，广泛分布。为葡萄科落叶大藤本，是一种美丽的垂直绿化植物。其形态与野葡萄相似，枝上有卷须，卷须尖端有粘性吸盘，遇到物体便吸附在上，无论是岩石、墙壁或是树木，均能吸附。...,2005-12-13,xyc19960513,5个回答,41
爬山虎软件能干什么,http://zhidao.baidu.com/question/1605147950970524307.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎通讯录管理系统 免费版 本软件是和USB电话录音盒、呼叫中心一体机等设备配套的客户端软件,也可作为免费的通讯录管理软件,2014-10-25,,1个回答,
那片绿绿的爬山虎 读书笔记,http://zhidao.baidu.com/question/684916600045637172.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：肖复兴的《那片绿绿的爬山虎》一文，回忆了他中学时代，叶圣陶爷爷如何关心他学习的事情。由于我的一段特殊经历，所以在学习这篇文章时感到格外亲切。文中有这样一句话：“这不仅使我看到了自己作文的种种毛病，也使我认识到了文学事业的艰巨：不...,2016-12-03,百度知道客户端,1个回答,3
爬墙虎和其它植物相比的优点?,http://zhidao.baidu.com/question/690108107340806164.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬墙虎和其它植物相比的优点?,2015-12-13,guiyug,1个回答,1
运动会开幕式爬山虎中队可以弄个什么口号,http://zhidao.baidu.com/question/437196221294638684.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：旌旗飞舞送寒冬，同窗携手攀高峰。狭路相逢勇者胜，爬山虎队冲冲冲！！！,2017-04-09,葬爱三少爷,1个回答,1
福建福州的气候。天台、屋顶怎么种爬山虎？,http://zhidao.baidu.com/question/282594113.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：家住顶楼（8层），顶上那层是可以上去的天台。。。 看了很多，大家都说...,2011-06-22,csliyifeng,1个回答,
爬山虎因什么而得名,http://zhidao.baidu.com/question/476491968.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：这个名字的由来跟壁虎也有关系吧！都是生长能力强，能在墙壁上攀援,2012-09-13,zjn070114,4个回答,23
爬山虎的叶子所以在墙上铺得那么均匀是因为什么？,http://zhidao.baidu.com/question/497073511283698244.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：这是它爬山虎自身生存的需要。植物都是需要阳光才能更茁壮地生长，爬山虎“在墙上铺得那么均匀，没有重叠起来的”就是为了更充分地吸收阳光,2015-01-18,姐我給您笑個,1个回答,83
文章最后要写到了，爬山虎有什么好处？,http://zhidao.baidu.com/question/1495479245635982899.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：前后照应，引人回味上文,2015-02-08,百度知道客户端,3个回答,25
关于爬山虎怎么爬的图片,http://zhidao.baidu.com/question/1382597792534211140.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：枝上有卷须，卷须短，多分枝，卷须顶端及尖端有粘性吸盘，遇到物体便吸附在上面，无论是岩石、墙壁或是树木，均能吸附。图片可以网上搜索的。,2014-09-20,土巴兔,1个回答,23
种爬山虎是保护墙？还是伤害墙！,http://zhidao.baidu.com/question/616232118145359812.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：鸡蛋和石头相碰哪个先碎？就算是爬山虎伤害墙，它伤害的了吗？墙多坚硬？所以放心好了，不会影响，如果爬山虎多了还会减少紫外线摄入，抵挡热量，夏天比较凉爽,2014-03-23,天煜颂,3个回答,3
那片绿绿的爬山虎课文中的“这么”是指什么,http://zhidao.baidu.com/question/1240945584988333859.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：这样写指的是：作家的作文是认真、一丝不苟的 这一篇作文写的全是具体事实,从具体事实中透露出对王老师的敬爱.肖复兴同学如果没有在这几件有关画画的事儿上深受感动,就不能写得这样亲切自然,2017-12-16,李静20070206,1个回答,32
《爬山虎的脚》一课中，从哪些句子可以看出作者连...,http://zhidao.baidu.com/question/745730730231611812.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的，现在弯曲了，把爬山虎的嫩茎拉一把，使它紧贴在墙上。爬山虎就是这样一脚一脚地往上爬。如果你仔细看那些细小的脚，你会想起图画上蛟龙的爪子,2014-10-29,作业帮,8个回答,21
爬山虎十年和新苗子有什么区别,http://zhidao.baidu.com/question/1797987017655738747.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎繁殖可以用插根、插枝、播种，长了10年的根系比较庞大，比新苗成型快。,2015-04-10,,1个回答,
课文时写爬山虎的脚的,为什么又要花那么多笔墨去写...,http://zhidao.baidu.com/question/480375364.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚在叶子底下藏着啊,用语文术语回答的话就是：为下文写爬山虎的脚做铺垫,2012-10-18,蓝色风踪,2个回答,42
爬山虎软件可以看直播电视吗,http://zhidao.baidu.com/question/2116631197189541947.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：很负责认的告诉你，可以看的，爬山虎解压后里面有好多个看直播的软件，今天家里刚按，,2014-11-04,zx6511083,2个回答,5
爬山虎长几年才能长到4楼？,http://zhidao.baidu.com/question/588144800.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我家的墙壁被太阳晒得烫死了！！,2013-09-04,,2个回答,2
爬山虎死了可以复活吗?,http://zhidao.baidu.com/question/1304978204885759659.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎一般不会死，冬天叶片落光了，就会休眠，不叫死，明年春天会发芽长叶。只有成了干柴，才是死了，就不可能复活了。,2015-09-18,bailanhuayan,1个回答,5
文章题目：那一片绿绿的爬山虎 求下面题目的答案,http://zhidao.baidu.com/question/1641352049024153460.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：参考答案： 16.答：（1）叶老给“我”修改作文；（2）叶老邀请“我”到他家作客。 17.答：运用了比喻的修辞方法，把“一墙绿得沉郁的爬山虎”比作“一片浓浓的湖水”，生动形象地写出了爬山虎浓浓的绿意、具有生机勃勃的特点，隐含着作者对叶老关怀“我”...,2016-04-20,shouji7913,1个回答,25
